Case                                                    Allocated  GCs     Max
CSV (Attoparsec)-csv-5.csv                                 88,608    0  11,064
CSV (Attoparsec)-csv-10.csv                               155,648    0  12,784
CSV (Attoparsec)-csv-20.csv                               293,688    0  20,312
CSV (Attoparsec)-csv-40.csv                               564,088    0  27,200
CSV (Megaparsec)-csv-5.csv                                 62,624    0  11,112
CSV (Megaparsec)-csv-10.csv                               103,368    0  12,832
CSV (Megaparsec)-csv-20.csv                               188,808    0  20,352
CSV (Megaparsec)-csv-40.csv                               354,024    0  27,240
Log (Attoparsec)-log-5.log                                160,632    0  11,120
Log (Attoparsec)-log-10.log                               297,440    0  12,360
Log (Attoparsec)-log-20.log                               570,928    0  14,840
Log (Attoparsec)-log-40.log                             1,120,392    0  19,800
Log (Megaparsec)-log-5.log                                180,680    0  11,216
Log (Megaparsec)-log-10.log                               337,184    0  12,456
Log (Megaparsec)-log-20.log                               650,064    0  14,936
Log (Megaparsec)-log-40.log                             1,278,312    0  19,896
JSON (Attoparsec)-json-5.json                              31,240    0  10,104
JSON (Attoparsec)-json-10.json                             43,624    0  10,104
JSON (Attoparsec)-json-20.json                             76,840    0  10,288
JSON (Attoparsec)-json-40.json                            134,928    0  10,288
JSON (Attoparsec)-json-200.json                           281,288    0  31,392
JSON (Megaparsec)-json-5.json                              33,856    0  10,104
JSON (Megaparsec)-json-10.json                             49,656    0  10,104
JSON (Megaparsec)-json-20.json                             90,704    0  10,288
JSON (Megaparsec)-json-40.json                            163,336    0  10,288
JSON (Megaparsec)-json-200.json                           318,992    0  32,024
JSON (Megaparsec simple)-json-5.json                       34,888    0  10,104
JSON (Megaparsec simple)-json-10.json                      52,112    0  10,104
JSON (Megaparsec simple)-json-20.json                     100,704    0  10,288
JSON (Megaparsec simple)-json-40.json                     183,504    0  10,288
JSON (Megaparsec simple)-json-200.json                    296,624    0  32,024
JSON (Megaparsec simple choice-optimized)-json-5.json      29,696    0  10,104
JSON (Megaparsec simple choice-optimized)-json-10.json     39,768    0  10,104
JSON (Megaparsec simple choice-optimized)-json-20.json     67,784    0  10,288
JSON (Megaparsec simple choice-optimized)-json-40.json    115,752    0  10,288
JSON (Megaparsec simple choice-optimized)-json-200.json   203,520    0  32,024
Benchmark bench-memory: FINISH
